param,aucTrain,aucCal
P_IND_OTHERSERV,0.527,0.501
P_IND_PUBADMIS,0.535,0.507
PCARPOOL,0.541,0.513
MED_TRAV_TOWRK,0.545,0.526
AVG_COMMUTETIM,0.526,0.501
WRK_TRA_90_UP,0.533,0.496
WRK_TRA_60_89,0.531,0.512
MED_HOME,0.549,0.515
UNIT_MORTG_1ST,0.537,0.493
MED_RENT,0.521,0.494
MED_DWELL_AGE,0.542,0.513
MED_LOR,0.532,0.522
HOUSE_STABILITY,0.532,0.528
P_HH_SPAN_SPEAK,0.544,0.523
CUR_EST_MED_INC,0.55,0.529
STATE_INC_INDEX,0.546,0.518
STATE_INC_DECILES,0.533,0.524
CUR_ST_EST_FAM_INC,0.535,0.518
CENSUS_FACT1,0.545,0.502
CENSUS_FACT2,0.528,0.518
CENSUS_FACT3,0.53,0.506
CENSUS_FACT4,0.545,0.534
CENSUS_SEG1,0.539,0.51
CENSUS_SEG2,0.534,0.53
CENSUS_SEG3,0.521,0.502
CENSUS_SEG4,0.531,0.514
EXAGE,0.555,0.545
RRC,0.52,0.516
LOR1,0.539,0.528
NUM_CHILD,0.53,0.509
AD2AGE,0.559,0.549
AD3AGE,0.53,0.503
AD4AGE,0.526,0.517
AD5AGE,0.516,0.499
AD6AGE,0.509,0.502
AD7AGE,0.504,0.498
AD8AGE,0.501,0.5
NUMBADLT,0.524,0.5
DM_GIFTS,0.524,0.487
DM_FOODS,0.502,0.493
DM_BOOKS,0.514,0.496
DM_GARDN,0.501,0.508
DM_CRAFT,0.5,0.486
DM_FEM,0.507,0.487
DM_MALE,0.51,0.477
DM_UP,0.512,0.49
DM_GEN,0.511,0.503
MGZ_HLTH,0.509,0.507
MGZ_FOOD,0.502,0.494
MGZ_GRDN,0.508,0.489
MGZ_RELG,0.501,0.502
MGZ_MALE,0.504,0.499
MGZ_FEM,0.505,0.495
MGZ_FAM,0.52,0.49
CON_GEN,0.501,0.502
CON_HLTH,0.513,0.496
CON_POLT,0.507,0.495
CON_RELG,0.503,0.503
SWEEPS,0.507,0.525
DOITSELF,0.507,0.495
NEWS,0.505,0.479
PHOTO,0.502,0.499
RESPODDS,0.517,0.486
RESPMISC,0.507,0.515
CNTY_INC,0.537,0.531
NAT_INC,0.541,0.526
ITMM,0.525,0.545
ITMM_SCS,0.536,0.537
NEWCAR,0.52,0.498
USEDCAR,0.525,0.498
IMPACT,0.544,0.533
BUY_AMERICAN,0.536,0.534
SHOW_ME_MONEY,0.534,0.512
GO_WITH_FLOW,0.538,0.493
NO_TIME_PRESENT,0.532,0.544
NEVER_EMPTY_HANDED,0.54,0.521
ON_THE_ROAD,0.532,0.545
LOOK_ATME_NOW,0.538,0.508
STOP_SMELL_ROSES,0.535,0.509
WORK_PLAY_HARD,0.552,0.516
PENNY_SAVED_EARNED,0.524,0.52
ALL_INTHE_NAME,0.543,0.526
EMAIL_RECEPTIVE,0.55,0.545
AD_WEB,0.543,0.535
AD_MAGAZINE,0.532,0.537
AD_NEWSPAPER,0.542,0.53
AD_RADIO,0.523,0.532
AD_TV,0.528,0.526
CTINCIND,0.542,0.535
ESTHMVL,0.56,0.54
ECHVPCT,0.559,0.538
LOAN_TRM,0.51,0.508
YEAR_BLT,0.561,0.515
ESTLOANTOVALRNG,0.562,0.55
ZGOLFERP,0.534,0.533
ZDONORSP,0.539,0.532
ZPETSP,0.538,0.532
ZARTSP,0.538,0.516
ZMOBP,0.511,0.511
ZFITNESP,0.537,0.53
ZOUTDOOP,0.535,0.523
ZTRAVANP,0.526,0.53
ZINVESTP,0.522,0.516
ZAUTOOWP,0.528,0.51
ZGARDENP,0.524,0.507
ZCOLLECP,0.532,0.52
ZCRUISEP,0.535,0.513
ZSPORTSP,0.526,0.52
ZSWEEPSP,0.53,0.533
ZPOLITIP,0.552,0.532
ZMUSICP,0.529,0.523
ZREADP,0.517,0.516
ZCHLDPRP,0.526,0.515
ZDIYP,0.525,0.523
ZSELFIPP,0.543,0.54
ZRELIGOP,0.541,0.54
ZGRANDPP,0.547,0.544
ZCLOTHNP,0.521,0.534
ZDONENVP,0.545,0.534
ZMUTUALP,0.542,0.546
ZWGHTCOP,0.524,0.521
ZPRCHPHP,0.547,0.532
ZPRCHTVP,0.534,0.511
ZMOBMULP,0.511,0.512
ZCREDPLP,0.534,0.534
ZDOGSP,0.543,0.525
ZCATSP,0.54,0.543
ZHEALTHP,0.548,0.538
ZAUTOINP,0.54,0.54
ZSKIINGP,0.555,0.553
ZASTRLGP,0.531,0.528
ZBOATSP,0.532,0.539
ZCELLP,0.546,0.56
ZCOMMCOP,0.54,0.551
ZHOMEENP,0.539,0.546
ZKITCHEP,0.527,0.517
ZMOBAVP,0.542,0.551
ZMOBBOOP,0.522,0.525
ZMOBCLTP,0.518,0.529
ZMOBFINP,0.528,0.508
ZMOBGIFP,0.547,0.53
ZMOBGRDP,0.527,0.53
ZMOBJWLP,0.528,0.529
ZMUSCLAP,0.527,0.541
ZMUSCNTP,0.545,0.53
ZMUSCRSP,0.553,0.529
ZMUSOLDP,0.546,0.545
ZMUSROCP,0.544,0.542
ZPBCAREP,0.525,0.501
ZPHOTOP,0.531,0.519
ZPRCHONP,0.527,0.511
ZTENNISP,0.561,0.537
ZTRAVDOP,0.531,0.523
ZTRAVFOP,0.535,0.525
ZVOLUNTP,0.526,0.514
PRE2009_SALES,0.629,0.615
PRE2009_TRANSACTIONS,0.63,0.608
CUSUM_RESP_TILL15,0.771,0.769
CUSUM_QTY_TILL15,0.784,0.778
CUSUM_TOT_USD_TILL15,0.771,0.763
CUSUM_TOT_USD_12_TO_15,0.529,0.538
CUSUM_MAILERS_TILL15,0.561,0.552
MAILERS_IN_15,0.506,0.521
MAILERS_IN_14,0.505,0.498
